"","order","geometry"
"49","Hemiptera",c(5993983.93639142, 1977846.13763048)
"109","Hymenoptera",c(5995076.26225593, 1976410.53046803)
"111","Hymenoptera",c(5995064.47154424, 1976425.31020975)
"115","Hymenoptera",c(5995070.36689863, 1976417.92033832)
"116","Hymenoptera",c(5995073.31457691, 1976414.22540303)
"117","Hymenoptera",c(5995067.41922107, 1976421.6152739)
"510","Hymenoptera",c(5995213.93366924, 1977384.89010986)
"1163","Coleoptera",c(5993687.23620948, 1978110.85258929)
"1214","Hymenoptera",c(5994723.61358023, 1977072.2951303)
"1215","Hymenoptera",c(5995213.93366924, 1977384.89010986)
"1399","Hymenoptera",c(5995213.93366924, 1977384.89010986)
"1512","Coleoptera",c(5994302.78840082, 1977152.96577913)
"1581","Hymenoptera",c(5995213.93366924, 1977384.89010986)
"1582","Hymenoptera",c(5995213.93366924, 1977384.89010986)
"1858","Coleoptera",c(5993687.23620948, 1978110.85258929)
"2188","Coleoptera",c(5993687.23620948, 1978110.85258929)
"2533","Coleoptera",c(5993687.23620948, 1978110.85258929)
"2678","Coleoptera",c(5993712.61901559, 1977855.58799892)
"2696","Coleoptera",c(5993687.23620948, 1978110.85258929)
"2838","Coleoptera",c(5993712.61901559, 1977855.58799892)
"2856","Coleoptera",c(5993687.23620948, 1978110.85258929)
"3022","Coleoptera",c(5993687.23620948, 1978110.85258929)
"3197","Coleoptera",c(5993687.23620948, 1978110.85258929)
"3366","Coleoptera",c(5993687.23620948, 1978110.85258929)
"3507","Coleoptera",c(5993712.61901559, 1977855.58799892)
"3521","Coleoptera",c(5993687.23620948, 1978110.85258929)
"3674","Coleoptera",c(5993712.61901559, 1977855.58799892)
"3693","Coleoptera",c(5993687.23620948, 1978110.85258929)
"3868","Coleoptera",c(5995250.54812962, 1977826.81028679)
"3941","Coleoptera",c(5993687.23620948, 1978110.85258929)
"4218","Coleoptera",c(5995250.54812962, 1977826.81028679)
"4554","Coleoptera",c(5993687.23620948, 1978110.85258929)
"4652","Coleoptera",c(5993687.23620948, 1978110.85258929)
"5009","Coleoptera",c(5993687.23620948, 1978110.85258929)
"5163","Coleoptera",c(5993687.23620948, 1978110.85258929)
"5252","Coleoptera",c(5993687.23620948, 1978110.85258929)
"5418","Coleoptera",c(5993687.23620948, 1978110.85258929)
"5419","Coleoptera",c(5993687.23620948, 1978110.85258929)
"5420","Coleoptera",c(5993687.23620948, 1978110.85258929)
"5435","Coleoptera",c(5993712.61901559, 1977855.58799892)
"5478","Coleoptera",c(5993712.61901559, 1977855.58799892)
"5498","Coleoptera",c(5993712.61901559, 1977855.58799892)
"5533","Coleoptera",c(5993687.23620948, 1978110.85258929)
"5534","Coleoptera",c(5993687.23620948, 1978110.85258929)
"5615","Coleoptera",c(5993712.61901559, 1977855.58799892)
"5618","Coleoptera",c(5993712.61901559, 1977855.58799892)
"5647","Coleoptera",c(5994723.61358023, 1977072.2951303)
"5660","Coleoptera",c(5993687.23620948, 1978110.85258929)
"5678","Coleoptera",c(5993712.61901559, 1977855.58799892)
"5748","Coleoptera",c(5993712.61901559, 1977855.58799892)
"5759","Coleoptera",c(5994659.89804191, 1976891.49492071)
"5777","Coleoptera",c(5994723.61358023, 1977072.2951303)
"5789","Coleoptera",c(5993687.23620948, 1978110.85258929)
"5790","Coleoptera",c(5993687.23620948, 1978110.85258929)
"5798","Coleoptera",c(5993687.23620948, 1978110.85258929)
"5845","Coleoptera",c(5993712.61901559, 1977855.58799892)
"5847","Coleoptera",c(5994659.89804191, 1976891.49492071)
"5871","Coleoptera",c(5994659.89804191, 1976891.49492071)
"5902","Coleoptera",c(5994723.61358023, 1977072.2951303)
"5913","Coleoptera",c(5993687.23620948, 1978110.85258929)
"5914","Coleoptera",c(5993687.23620948, 1978110.85258929)
"5925","Coleoptera",c(5993687.23620948, 1978110.85258929)
"5994","Coleoptera",c(5993712.61901559, 1977855.58799892)
"6002","Coleoptera",c(5994659.89804191, 1976891.49492071)
"6020","Coleoptera",c(5994723.61358023, 1977072.2951303)
"6034","Coleoptera",c(5993687.23620948, 1978110.85258929)
"6044","Coleoptera",c(5993687.23620948, 1978110.85258929)
"6145","Coleoptera",c(5993687.23620948, 1978110.85258929)
"6152","Coleoptera",c(5993687.23620948, 1978110.85258929)
"6158","Coleoptera",c(5993687.23620948, 1978110.85258929)
"6186","Coleoptera",c(5994659.89804191, 1976891.49492071)
"6225","Coleoptera",c(5995250.54812962, 1977826.81028679)
"6252","Coleoptera",c(5993687.23620948, 1978110.85258929)
"6254","Coleoptera",c(5993712.61901559, 1977855.58799892)
"6260","Coleoptera",c(5993687.23620948, 1978110.85258929)
"6261","Coleoptera",c(5993687.23620948, 1978110.85258929)
"6366","Coleoptera",c(5994723.61358023, 1977072.2951303)
"6376","Coleoptera",c(5993687.23620948, 1978110.85258929)
"6377","Coleoptera",c(5993687.23620948, 1978110.85258929)
"6394","Coleoptera",c(5993712.61901559, 1977855.58799892)
"6435","Coleoptera",c(5994659.89804191, 1976891.49492071)
"6474","Coleoptera",c(5994659.89804191, 1976891.49492071)
"6492","Coleoptera",c(5994723.61358023, 1977072.2951303)
"6507","Coleoptera",c(5993687.23620948, 1978110.85258929)
"6562","Coleoptera",c(5994659.89804191, 1976891.49492071)
"6591","Coleoptera",c(5993712.61901559, 1977855.58799892)
"6598","Coleoptera",c(5994659.89804191, 1976891.49492071)
"6614","Coleoptera",c(5994723.61358023, 1977072.2951303)
"6866","Coleoptera",c(5994169.71955423, 1978101.81548325)
"6867","Coleoptera",c(5994985.95127727, 1978195.73981903)
"6941","Coleoptera",c(5996043.41777605, 1978285.18345602)
"6942","Coleoptera",c(5996043.41777605, 1978285.18345602)
"7021","Coleoptera",c(5994302.78840082, 1977152.96577913)
"7194","Coleoptera",c(5994169.71955423, 1978101.81548325)
"7195","Coleoptera",c(5994169.71955423, 1978101.81548325)
"7199","Coleoptera",c(5995250.54812962, 1977826.81028679)
"7266","Coleoptera",c(5996043.41777605, 1978285.18345602)
"7529","Coleoptera",c(5994985.95127727, 1978195.73981903)
"7600","Coleoptera",c(5996043.41777605, 1978285.18345602)
"7601","Coleoptera",c(5996043.41777605, 1978285.18345602)
"7665","Coleoptera",c(5993687.23620948, 1978110.85258929)
"7833","Coleoptera",c(5994169.71955423, 1978101.81548325)
"7834","Coleoptera",c(5994985.95127727, 1978195.73981903)
"7900","Coleoptera",c(5996043.41777605, 1978285.18345602)
"7901","Coleoptera",c(5996043.41777605, 1978285.18345602)
"7976","Coleoptera",c(5994302.78840082, 1977152.96577913)
"8150","Coleoptera",c(5994169.71955423, 1978101.81548325)
"8151","Coleoptera",c(5994169.71955423, 1978101.81548325)
"8155","Coleoptera",c(5995250.54812962, 1977826.81028679)
"8222","Coleoptera",c(5996043.41777605, 1978285.18345602)
"8303","Coleoptera",c(5994302.78840082, 1977152.96577913)
"8468","Coleoptera",c(5994169.71955423, 1978101.81548325)
"8469","Coleoptera",c(5994169.71955423, 1978101.81548325)
"8472","Coleoptera",c(5995250.54812962, 1977826.81028679)
"8539","Coleoptera",c(5996043.41777605, 1978285.18345602)
"8781","Coleoptera",c(5994169.71955423, 1978101.81548325)
"8782","Coleoptera",c(5994985.95127727, 1978195.73981903)
"8850","Coleoptera",c(5996043.41777605, 1978285.18345602)
"8851","Coleoptera",c(5996043.41777605, 1978285.18345602)
"8924","Coleoptera",c(5993687.23620948, 1978110.85258929)
"9091","Coleoptera",c(5994169.71955423, 1978101.81548325)
"9092","Coleoptera",c(5994169.71955423, 1978101.81548325)
"9163","Coleoptera",c(5996043.41777605, 1978285.18345602)
"9402","Coleoptera",c(5994169.71955423, 1978101.81548325)
"9403","Coleoptera",c(5994985.95127727, 1978195.73981903)
"9471","Coleoptera",c(5996043.41777605, 1978285.18345602)
"9472","Coleoptera",c(5996043.41777605, 1978285.18345602)
"9532","Coleoptera",c(5993687.23620948, 1978110.85258929)
"9712","Coleoptera",c(5994169.71955423, 1978101.81548325)
"9776","Coleoptera",c(5996043.41777605, 1978285.18345602)
"9777","Coleoptera",c(5996043.41777605, 1978285.18345602)
"9863","Coleoptera",c(5994723.61358023, 1977072.2951303)
"9864","Coleoptera",c(5994723.61358023, 1977072.2951303)
"9952","Coleoptera",c(5994723.61358023, 1977072.2951303)
"9981","Coleoptera",c(5994723.61358023, 1977072.2951303)
