WKT,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,latitude,longitude
"POINT (-119.8823 34.412588)",Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Zelus,,tetracanthus,34.412588,-119.8823
"POINT (-119.87859 34.4087)",Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,,34.4087,-119.87859
"POINT (-119.87863 34.40874)",Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Halictus,,,34.40874,-119.87863
"POINT (-119.87861 34.40872)",Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Halictus,,,34.40872,-119.87861
"POINT (-119.8786 34.40871)",Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Anthidium,,,34.40871,-119.8786
"POINT (-119.87862 34.40873)",Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Halictus,,,34.40873,-119.87862
"POINT (-119.878194 34.411384)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Tapinoma,,sessile,34.411384,-119.878194
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Malachiusidae,Collops,,cribrosus,34.4133,-119.8833
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Monomorium,,ergatogyna,34.4105,-119.8798
"POINT (-119.878194 34.411384)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Linepithema,,humile,34.411384,-119.878194
"POINT (-119.878194 34.411384)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Linepithema,,humile,34.411384,-119.878194
"POINT (-119.8812 34.4107)",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Elassoptes,,marinus,34.4107,-119.8812
"POINT (-119.878194 34.411384)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Tapinoma,,sessile,34.411384,-119.878194
"POINT (-119.878194 34.411384)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Linepithema,,humile,34.411384,-119.878194
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Malachiusidae,Collops,,cribrosus,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Omalium,,,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Monotomidae,Phyconomus,,marinus,34.4133,-119.8833
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Thinopinus,,pictus,34.4126,-119.8832
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Aphodiidae,Labarrus,,lividus,34.4133,-119.8833
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Pontomalota,,opaca,34.4126,-119.8832
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Thinusa,,fletcheri,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Monotomidae,Phyconomus,,marinus,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Monotomidae,Phyconomus,,marinus,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Trachymela,,sloanei,34.4133,-119.8833
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Bledius,,fenyesi,34.4126,-119.8832
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Axinopalpus,,,34.4133,-119.8833
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Thinopinus,,pictus,34.4126,-119.8832
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Trachymela,,sloanei,34.4133,-119.8833
"POINT (-119.8781 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cicindela,,hirticollis,34.4126,-119.8781
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Latridiidae,Melanophthalma,,americana,34.4133,-119.8833
"POINT (-119.8781 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cicindela,,hirticollis,34.4126,-119.8781
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Hypocaccus,,lucidulus,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Oedemeridae,Copidita,,quadrimaculata,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Oedemeridae,Copidita,,quadrimaculata,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Latridiidae,Melanophthalma,,americana,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Hypocaccus,,lucidulus,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Hypocaccus,,lucidulus,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Trigonoscuta,,,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Epantius,,obscurus,34.4133,-119.8833
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Hadrotes,,crassus,34.4126,-119.8832
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Mordellidae,Mordella,,hubbsi,34.4126,-119.8832
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Trirhabda,,luteocincta,34.4126,-119.8832
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Trigonoscuta,,,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Aphodiidae,Tesarius,,,34.4133,-119.8833
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Elassoptes,,marinus,34.4126,-119.8832
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Trirhabda,,luteocincta,34.4126,-119.8832
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Coelus,,ciliatus,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Trigonoscuta,,,34.4133,-119.8833
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Neopachylopus,,sulcifrons,34.4126,-119.8832
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Trirhabda,,luteocincta,34.4126,-119.8832
"POINT (-119.88 34.41)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Thinopinus,,pictus,34.41,-119.88
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Coelus,,ciliatus,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Anthicus,,maritimus,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Euspilotus,,scissus,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Neopachylopus,,sulcifrons,34.4133,-119.8833
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,,seminitens,34.4126,-119.8832
"POINT (-119.88 34.41)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,,fimbriatus,34.41,-119.88
"POINT (-119.88 34.41)",Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Coelus,,ciliatus,34.41,-119.88
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Aphodiidae,Tesarius,,,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Hypocaccus,,bigemmeus,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Hypocaccus,,bigemmeus,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Neopachylopus,,sulcifrons,34.4133,-119.8833
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Trirhabda,,luteocincta,34.4126,-119.8832
"POINT (-119.88 34.41)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Thinopinus,,pictus,34.41,-119.88
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Pontomalota,,opaca,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Trigonoscuta,,,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Hypocaccus,,lucidulus,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Amblyderus,,parviceps,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Hypocaccus,,lucidulus,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Malachiusidae,Collops,,cribrosus,34.4133,-119.8833
"POINT (-119.88 34.41)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Hypocaccus,,lucidulus,34.41,-119.88
"POINT (-119.8781 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Coelus,,ciliatus,34.4126,-119.8781
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Amblyderus,,parviceps,34.4133,-119.8833
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Coelus,,ciliatus,34.4126,-119.8832
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Aphodiidae,Tesarius,,,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Amblyderus,,parviceps,34.4133,-119.8833
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Pontomalota,,opaca,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Aphodiidae,Tesarius,,,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Euspilotus,,scissus,34.4133,-119.8833
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Neopachylopus,,sulcifrons,34.4126,-119.8832
"POINT (-119.88 34.41)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,,fimbriatus,34.41,-119.88
"POINT (-119.88 34.41)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Thinopinus,,pictus,34.41,-119.88
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Amblyderus,,parviceps,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Anthicus,,maritimus,34.4133,-119.8833
"POINT (-119.88 34.41)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,,fimbriatus,34.41,-119.88
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Trirhabda,,luteocincta,34.4126,-119.8832
"POINT (-119.88 34.41)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Thinopinus,,pictus,34.41,-119.88
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Aleochara,,sulcicollis,34.4105,-119.8798
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Berosus,,,34.4133,-119.8817
"POINT (-119.879 34.4136)",Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Ochthebius,,,34.4136,-119.879
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Ochthebius,,,34.4139,-119.8755
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Ochthebius,,,34.4139,-119.8755
"POINT (-119.8812 34.4107)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,,fimbriatus,34.4107,-119.8812
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Ochthebius,,,34.4133,-119.8817
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Berosus,,infuscatus,34.4133,-119.8817
"POINT (-119.8781 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Zopheridae,Phloeodes,,diabolicus,34.4126,-119.8781
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,,,34.4139,-119.8755
"POINT (-119.879 34.4136)",Animalia,Arthropoda,Insecta,Coleoptera,Brachyceridae,Endalus,,punctatus,34.4136,-119.879
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Carpelimus,,,34.4139,-119.8755
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Tropisternus,,quadristriatus,34.4139,-119.8755
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Hypocaccus,,lucidulus,34.4133,-119.8833
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Ochthebius,,,34.4133,-119.8817
"POINT (-119.879 34.4136)",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Ceutorhynchus,,assimilis,34.4136,-119.879
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,,,34.4139,-119.8755
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Paratachys,,,34.4139,-119.8755
"POINT (-119.8812 34.4107)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,,fimbriatus,34.4107,-119.8812
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cymbiodyta,,,34.4133,-119.8817
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Ochthebius,,,34.4133,-119.8817
"POINT (-119.8781 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Ciidae,Ceracis,,californicus,34.4126,-119.8781
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,,,34.4139,-119.8755
"POINT (-119.8812 34.4107)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,,fimbriatus,34.4107,-119.8812
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Eleodes,,littoralis,34.4133,-119.8817
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Anchastus,,cinereipennis,34.4133,-119.8817
"POINT (-119.8781 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Latridiidae,Cartodere,,australicus,34.4126,-119.8781
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Ochthebius,,,34.4139,-119.8755
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Berosus,,,34.4133,-119.8817
"POINT (-119.879 34.4136)",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Hypera,,postica,34.4136,-119.879
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,,,34.4139,-119.8755
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,,,34.4139,-119.8755
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,,fimbriatus,34.4133,-119.8833
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Liodessus,,,34.4133,-119.8817
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Berosus,,infuscatus,34.4133,-119.8817
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Cyclodinus,,annectens,34.4139,-119.8755
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Berosus,,infuscatus,34.4133,-119.8817
"POINT (-119.879 34.4136)",Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Diachus,,auratus,34.4136,-119.879
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,,,34.4139,-119.8755
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Paratachys,,,34.4139,-119.8755
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Hypocaccus,,lucidulus,34.4133,-119.8833
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Liodessus,,,34.4133,-119.8817
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Ochthebius,,,34.4139,-119.8755
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Paratachys,,,34.4139,-119.8755
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Oedemeridae,Copidita,,quadrimaculata,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Notoxus,,desertus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Heterothops,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Scraptiidae,Naucles,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Scymnus,,difficilis,34.4105,-119.8798
